SCHEDA NUMERO,CODICE CLIENTE,EMAIL
001,CLI001,mario.rossi@email.com
002,CLI002,giulia.bianchi@email.com
003,CLI003,luca.verdi@email.com
004,CLI004,anna.neri@email.com
005,CLI005,francesco.azzurri@email.com
006,CLI006,marco.gialli@email.com
007,CLI007,sofia.viola@email.com
008,CLI008,andrea.marrone@email.com
009,CLI009,chiara.rosa@email.com
010,CLI010,paolo.arancio@email.com
011,CLI011,roberto.blu@email.com
012,CLI012,elena.grigio@email.com
013,CLI013,davide.nero@email.com
014,CLI014,laura.bianco@email.com
015,CLI015,michele.verde@email.com
016,CLI016,sara.rosso@email.com
017,CLI017,fabio.giallo@email.com
018,CLI018,valentina.viola@email.com
019,CLI019,alessandro.marrone@email.com
020,CLI020,claudia.rosa@email.com
