SCHEDA NUMERO,CODICE CLIENTE,EMAIL,USER_ID
001,CLI001,mario.rossi@email.com,8C10D24571B33235081A75B3
002,CLI002,giulia.bianchi@email.com,1396F918D24C4BA92DD07CAD
003,CLI003,luca.verdi@email.com,C85AE2F9CAFAF658A55EB10F
004,CLI004,anna.neri@email.com,9353559F268449D58819513A
005,CLI005,francesco.azzurri@email.com,CAEECCF9B5EB0CE757755008
006,CLI006,marco.gialli@email.com,9462C822673EB4868ED9ECE3
007,CLI007,sofia.viola@email.com,34C127C9CBA91D628FF6BC62
008,CLI008,andrea.marrone@email.com,8CE3A46519CBE2E7D1282AEB
009,CLI009,chiara.rosa@email.com,AAD44DF0C7401A69FA1C5B32
010,CLI010,paolo.arancio@email.com,A5E015E7A6EFCAFB33F4CC13
011,CLI011,roberto.blu@email.com,60014047A01903E75F4CB9D8
012,CLI012,elena.grigio@email.com,322DF711CD46C34856562B32
013,CLI013,davide.nero@email.com,11D681A60F111F53961B1B00
014,CLI014,laura.bianco@email.com,D10F024737655832A37C451A
015,CLI015,michele.verde@email.com,58557C77B6247173A1D10AFF
016,CLI016,sara.rosso@email.com,DCAAC43899884F903AEB49D7
017,CLI017,fabio.giallo@email.com,EDB0CEF080E5608B7D522F54
018,CLI018,valentina.viola@email.com,BA32BE5612EF4AB88B8E127D
019,CLI019,alessandro.marrone@email.com,9BA23B9BAD5A7197CFE18BA0
020,CLI020,claudia.rosa@email.com,AD7C3CBB09E1CF27A4431E1C
021,CLI021,giuseppe.bruno@email.com,F1D2E3A4B5C6D7E8F9G0H1I2
022,CLI022,martina.celeste@email.com,J3K4L5M6N7O8P9Q0R1S2T3U4
023,CLI023,antonio.indaco@email.com,V5W6X7Y8Z9A0B1C2D3E4F5G6
024,CLI024,silvia.magenta@email.com,H7I8J9K0L1M2N3O4P5Q6R7S8
025,CLI025,riccardo.oro@email.com,T9U0V1W2X3Y4Z5A6B7C8D9E0
026,CLI026,beatrice.argento@email.com,F1G2H3I4J5K6L7M8N9O0P1Q2
027,CLI027,lorenzo.rame@email.com,R3S4T5U6V7W8X9Y0Z1A2B3C4
028,CLI028,caterina.platino@email.com,D5E6F7G8H9I0J1K2L3M4N5O6
029,CLI029,simone.bronzo@email.com,P7Q8R9S0T1U2V3W4X5Y6Z7A8
030,CLI030,lucia.porpora@email.com,B9C0D1E2F3G4H5I6J7K8L9M0
